AtomicNumber,ElementName,Symbol,PositiveOxidationStates,NegativeOxidationStates
1,Hydrogen,H,1,-1
2,Helium,He,0,0
3,Lithium,Li,1,0
4,Beryllium,Be,"1, 2",0
5,Boron,B,"1, 2, 3","-1, -5"
6,Carbon,C,"1, 2, 3, 4","-1, -2, -3, -4"
7,Nitrogen,N,"1, 2, 3, 4, 5","-1, -2, -3"
8,Oxygen,O,"1, 2","-1, -2"
9,Fluorine,F,0,-1
10,Neon,Ne,0,0
11,Sodium,Na,1,-1
12,Magnesium,Mg,"1, 2",0
13,Aluminium,Al,"1, 2, 3","-1, -2"
14,Silicon,Si,"1, 2, 3, 4","-1, -2, -3, -4"
15,Phosphorus,P,"1, 2, 3, 4, 5","-1, -2, -3"
16,Sulfur,S,"1, 2, 3, 4, 5, 6","-1, -2"
17,Chlorine,Cl,"1, 2, 3, 4, 5, 6, 7",-1
18,Argon,Ar,0,0
19,Potassium,K,1,-1
20,Calcium,Ca,"1, 2",-1
21,Scandium,Sc,"1, 2, 3",0
22,Titanium,Ti,"1, 2, 3, 4","-1, -2"
23,Vanadium,V,"1, 2, 3, 4, 5","-1, -3"
24,Chromium,Cr,"1, 2, 3, 4, 5, 6","-1, -2, -4"
25,Manganese,Mn,"1, 2, 3, 4, 5, 6, 7","-1, -2, -3"
26,Iron,Fe,"1, 2, 3, 4, 5, 6","-1, -2, -4"
27,Cobalt,Co,"1, 2, 3, 4, 5","-1, -3"
28,Nickel,Ni,"1, 2, 3, 4","-1, -2"
29,Copper,Cu,"1, 2, 3, 4",-2
30,Zinc,Zn,"1, 2",-2
31,Gallium,Ga,"1, 2, 3","-1, -2, -4, -5"
32,Germanium,Ge,"1, 2, 3, 4","-1, -2, -3, -4"
33,Arsenic,As,"1, 2, 3, 4, 5","-1, -2, -3"
34,Selenium,Se,"1, 2, 3, 4, 5, 6","-1, -2"
35,Bromine,Br,"1, 3, 4, 5, 7",-1
36,Krypton,Kr,2,0
37,Rubidium,Rb,1,-1
38,Strontium,Sr,"1, 2",0
39,Yttrium,Y,"1, 2, 3",0
40,Zirconium,Zr,"1, 2, 3, 4",-2
41,Niobium,Nb,"1, 2, 3, 4, 5","-1, -3"
42,Molybdenum,Mo,"1, 2, 3, 4, 5, 6","-1, -2, -4"
43,Technetium,Tc,"1, 2, 3, 4, 5, 6, 7","-1, -3"
44,Ruthenium,Ru,"1, 2, 3, 4, 5, 6, 7, 8","-2, -4"
45,Rhodium,Rh,"1, 2, 3, 4, 5, 6","-1, -3"
46,Palladium,Pd,"1, 2, 3, 4, 5, 6",0
47,Silver,Ag,"1, 2, 3, 4","-1, -2"
