AtomicNumber,Symbol,ElementName,AtomicMass,Category,Group,Period,Block,ElectronConfiguration,Electronegativity,Density,NumberofNeutrons,NumberofProtons,NumberofElectrons,AtomicRadius,Electronegativity,FirstIonization,MeltingPoint,BoilingPoint,NumberOfIsotopes,Discoverer,Year,SpecificHeat,NumberofShells,NumberofValence
1,H,Hydrogen,1.008,Nonmetal,1,1,s,1s¹,2.2,0.00009,0,1,1,0.79,2.2,13.5984,14.175,20.28,3,Cavendish,1766,14.304,1,1
2,He,Helium,4.003,Noble Gas,18,1,s,1s²,,0.00018,2,2,2,0.49,,24.5874,,4.22,5,Janssen,1868,5.193,1,
3,Li,Lithium,6.941,Alkali Metal,1,2,s,[He] 2s¹,0.98,0.534,4,3,3,2.1,0.98,5.3917,453.85,1615,5,Arfvedson,1817,3.582,2,1
4,Be,Beryllium,9.012,Alkaline Earth Metal,2,2,s,[He] 2s²,1.57,1.85,5,4,4,1.4,1.57,9.3227,1560.15,2742,6,Vaulquelin,1798,1.825,2,2
5,B,Boron,10.81,Metalloid,13,2,p,[He] 2s² 2p¹,2.04,2.34,6,5,5,1.2,2.04,8.298,2573.15,4200,6,Gay-Lussac,1808,1.026,2,3
6,C,Carbon,12.01,Nonmetal,14,2,p,[He] 2s² 2p²,2.55,2.27,6,6,6,0.91,2.55,11.2603,3948.15,4300,7,Prehistoric,,0.709,2,4
7,N,Nitrogen,14.01,Nonmetal,15,2,p,[He] 2s² 2p³,3.04,0.00125,7,7,7,0.75,3.04,14.5341,63.29,77.36,8,Rutherford,1772,1.04,2,5
8,O,Oxygen,16,Nonmetal,16,2,p,[He] 2s² 2p⁴,3.44,0.00143,8,8,8,0.65,3.44,13.6181,50.5,90.2,8,Priestley/Scheele,1774,0.918,2,6
9,F,Fluorine,19,Halogen,17,2,p,[He] 2s² 2p⁵,3.98,0.0017,10,9,9,0.57,3.98,17.4228,53.63,85.03,6,Moissan,1886,0.824,2,7
10,Ne,Neon,20.18,Noble Gas,18,2,p,[He] 2s² 2p⁶,,0.0009,10,10,10,0.51,,21.5645,24.703,27.07,8,Ramsay and Travers,1898,1.03,2,8
11,Na,Sodium,22.99,Alkali Metal,1,3,s,[Ne] 3s¹,0.93,0.971,12,11,11,2.2,0.93,5.1391,371.15,1156,7,Davy,1807,1.228,3,1
12,Mg,Magnesium,24.31,Alkaline Earth Metal,2,3,s,[Ne] 3s²,1.31,1.738,12,12,12,1.7,1.31,7.6462,923.15,1363,8,Black,1755,1.023,3,2
13,Al,Aluminium,26.98,Metal,13,3,p,[Ne] 3s² 3p¹,1.61,2.7,14,13,13,1.8,1.61,5.9858,933.4,2792,8,Wshler,1827,0.897,3,3
14,Si,Silicon,28.09,Metalloid,14,3,p,[Ne] 3s² 3p²,1.9,2.33,14,14,14,1.5,1.9,8.1517,1683.15,3538,8,Berzelius,1824,0.705,3,4
15,P,Phosphorus,30.97,Nonmetal,15,3,p,[Ne] 3s² 3p³,2.19,1.82,16,15,15,1.2,2.19,10.4867,317.25,553,7,BranBrand,1669,0.769,3,5
16,S,Sulfur,32.07,Nonmetal,16,3,p,[Ne] 3s² 3p⁴,2.58,2.07,16,16,16,1.1,2.58,10.36,388.51,717.8,10,Prehistoric,,0.71,3,6
17,Cl,Chlorine,35.45,Halogen,17,3,p,[Ne] 3s² 3p⁵,3.16,0.00321,18,17,17,0.97,3.16,12.9676,172.31,239.11,11,Scheele,1774,0.479,3,7
18,Ar,Argon,39.95,Noble Gas,18,3,p,[Ne] 3s² 3p⁶,,0.00178,22,18,18,0.88,,15.7596,83.96,87.3,8,Rayleigh and Ramsay,1894,0.52,3,8
19,K,Potassium,39.1,Alkali Metal,1,4,s,[Ar] 4s¹,0.82,0.862,20,19,19,2.8,0.82,4.3407,336.5,1032,10,Davy,1807,0.757,4,1
20,Ca,Calcium,40.08,Alkaline Earth Metal,2,4,s,[Ar] 4s²,1,1.54,20,20,20,2.2,1,6.1132,1112.15,1757,14,Davy,1808,0.647,4,2
21,Sc,Scandium,44.96,Transition Metal,3,4,d,[Ar] 3d¹ 4s²,1.36,2.99,24,21,21,2.1,1.36,6.5615,1812.15,3109,15,Nilson,1878,0.568,4,
22,Ti,Titanium,47.87,Transition Metal,4,4,d,[Ar] 3d² 4s²,1.54,4.54,26,22,22,2,1.54,6.8281,1933.15,3560,9,Gregor,1791,0.523,4,
23,V,Vanadium,50.94,Transition Metal,5,4,d,[Ar] 3d³ 4s²,1.63,6.11,28,23,23,1.9,1.63,6.7462,2175.15,3680,9,   del Rio,1801,0.489,4,
24,Cr,Chromium,52,Transition Metal,6,4,d,[Ar] 3d⁵ 4s¹,1.66,7.15,28,24,24,1.9,1.66,6.7665,2130.15,2944,9,Vauquelin,1797,0.449,4,
25,Mn,Manganese,54.94,Transition Metal,7,4,d,[Ar] 3d⁵ 4s²,1.55,7.44,30,25,25,1.8,1.55,7.434,1519.15,2334,11,"Gahn, Scheele",1774,0.479,4,
26,Fe,Iron,55.85,Transition Metal,8,4,d,[Ar] 3d⁶ 4s²,1.83,7.87,30,26,26,1.7,1.83,7.9024,1808.15,3134,10,Prehistoric,,0.449,4,
27,Co,Cobalt,58.93,Transition Metal,9,4,d,[Ar] 3d⁷ 4s²,1.88,8.86,32,27,27,1.7,1.88,7.881,1768.15,3200,14,Brandt,1735,0.421,4,
28,Ni,Nickel,58.69,Transition Metal,10,4,d,[Ar] 3d⁸ 4s²,1.91,8.91,31,28,28,1.6,1.91,7.6398,1726.15,3186,11,Cronstedt,1751,0.444,4,
29,Cu,Copper,63.55,Transition Metal,11,4,d,[Ar] 3d¹⁰ 4s¹,1.9,8.96,35,29,29,1.6,1.9,7.7264,1357.75,2835,11,Prehistoric,,0.385,4,
30,Zn,Zinc,65.38,Transition Metal,12,4,d,[Ar] 3d¹⁰ 4s²,1.65,7.13,35,30,30,1.5,1.65,9.3942,692.88,1180,15,Prehistoric,,0.388,4,
31,Ga,Gallium,69.72,Metal,13,4,p,[Ar] 3d¹⁰ 4s² 4p¹,1.81,5.91,39,31,31,1.8,1.81,5.9993,302.91,2477,14,de Boisbaudran,1875,0.371,4,3
32,Ge,Germanium,72.63,Metalloid,14,4,p,[Ar] 3d¹⁰ 4s² 4p²,2.01,5.32,41,32,32,1.5,2.01,7.8994,1211.45,3106,17,Winkler,1886,0.32,4,4
33,As,Arsenic,74.92,Metalloid,15,4,p,[Ar] 3d¹⁰ 4s² 4p³,2.18,5.78,42,33,33,1.3,2.18,9.7886,1090.15,887,14,Albertus Magnus,1250,0.329,4,5
34,Se,Selenium,78.97,Nonmetal,16,4,p,[Ar] 3d¹⁰ 4s² 4p⁴,2.55,4.81,45,34,34,1.2,2.55,9.7524,494.15,958,20,Berzelius,1817,0.321,4,6
35,Br,Bromine,79.9,Halogen,17,4,p,[Ar] 3d¹⁰ 4s² 4p⁵,2.96,3.12,45,35,35,1.1,2.96,11.8138,266.05,332,19,Balard,1826,0.474,4,7
